FID,UNIT_CODE,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,PARKNAME,POINT_X,POINT_Y
0,AMME,American Memorial Park,4/22/2015 0:00:00,MP,PW,1879026,Park,Lands,American Memorial Park,145.724001307999998,15.215015189000001
1,EBLA,Ebey's Landing National Historical Reserve,4/22/2015 0:00:00,WA,PW,1888910,National Historical Reserve,Lands,Ebey's Landing,-122.687721271000001,48.214030356999999
2,LARO,Lake Roosevelt National Recreation Area,4/22/2015 0:00:00,WA,PW,1531834,National Recreation Area,Lands,Lake Roosevelt,-118.715153653000002,47.911639786999999
3,OLYM,Olympic National Park,4/22/2015 0:00:00,WA,PW,1530459,National Park,Lands,Olympic,-123.618458275999998,47.795197893999998
4,SAMO,Santa Monica Mountains National Recreation Area,4/22/2015 0:00:00,CA,PW,277263,National Recreation Area,Lands,Santa Monica Mountains,-118.720179622000003,34.083787125000001
5,ACAD,Acadia National Park,12/18/2013 0:00:00,ME,NE,578853,National Park,Lands,Acadia,-68.244111977000003,44.350751387999999
6,ALKA,Ala Kahakai National Historic Trail,12/18/2013 0:00:00,HI,PW,2035608,National Historic Trail,Lands,Ala Kahakai,-155.506758644999991,19.131537051999999
7,ASIS,Assateague Island National Seashore,12/18/2013 0:00:00,MD,NE,589056,National Seashore,Lands,Assateague Island,-75.249624423000000,38.039037956999998
8,BISO,Big South Fork National River and Recreation Area,12/18/2013 0:00:00,TN,SE,1309762,National River and Recreation Area,Lands,Big South Fork,-84.665066867999997,36.534838848000000
9,BLRI,Blue Ridge Parkway,12/18/2013 0:00:00,NC,NT,1009494,Parkway,Lands,Blue Ridge Parkway,-81.070564669999996,36.436499476999998
10,BLUE,Bluestone National Scenic River,12/18/2013 0:00:00,WV,NE,1877617,National Scenic River,Lands,Bluestone,-80.960820268999996,37.589964377000001
11,CAHA,Cape Hatteras National Seashore,12/18/2013 0:00:00,NC,SE,982628,National Seashore,Lands,Cape Hatteras,-75.531193543000001,35.242413767000002
12,CALO,Cape Lookout National Seashore,12/18/2013 0:00:00,NC,SE,1000889,National Seashore,Lands,Cape Lookout,-76.190039257999999,34.958244682000000
13,CHAT,Chattahoochee River National Recreation Area,12/18/2013 0:00:00,GA,SE,1688073,National Recreation Area,Lands,Chattahoochee River,-84.266764709000000,33.972410609000001
14,CHCH,Chickamauga and Chattanooga National Military Park,12/18/2013 0:00:00,GA,SE,330990,National Military Park,Lands, Chickamauga and Chattanooga,-85.254012270000004,34.918972547999999
15,FIIS,Fire Island National Seashore,12/18/2013 0:00:00,NY,NE,970121,National Seashore,Lands,Fire Island,-72.994352266000007,40.691830297999999
16,FORA,Fort Raleigh National Historic Site,12/18/2013 0:00:00,NC,SE,985324,National Historic Site,Lands,Fort Raleigh,-75.709387609000004,35.936368348000002
17,GARI,Gauley River National Recreation Area,12/18/2013 0:00:00,WV,NE,1741168,National Recreation Area,Lands,Gauley River,-81.004208362000000,38.206149469000003
18,GRSM,Great Smoky Mountains National Park,12/18/2013 0:00:00,NC,SE,1018241,National Park,Lands,Great Smoky Mountains,-83.526176993000007,35.609406905000000
19,ISRO,Isle Royale National Park,12/18/2013 0:00:00,MI,MW,1616980,National Park,Lands,Isle Royale,-88.827806566999996,48.011458187999999
20,LOWE,Lowell National Historical Park,12/18/2013 0:00:00,MA,NE,1888940,National Historical Park,Lands,Lowell,-71.316572581000003,42.640588461000000
21,NEPE,Nez Perce National Historical Park,12/18/2013 0:00:00,WA,PW,394735,National Historical Park,Lands,Nez Perce,-116.278020647999995,45.794283682000000
22,NERI,New River Gorge National River,12/18/2013 0:00:00,VA,NE,1877618,National River,Lands,New River Gorge,-80.989704367000002,37.840266935000002
23,OBRI,Obed Wild and Scenic River,12/18/2013 0:00:00,TN,SE,1309684,Wild and Scenic River,Lands,Obed,-84.722447778000003,36.084580168000002
24,POPO,Poverty Point National Monument,12/18/2013 0:00:00,LA,SE,1888953,National Monument,Lands,Poverty Point,-91.408740941000005,32.635298818999999
25,REDW,Redwood National Park,12/18/2013 0:00:00,CA,PW,277109,National Park,Lands,Redwood,-124.031812865999996,41.372372679999998
26,SAJU,San Juan National Historic Site,12/18/2013 0:00:00,PR,SE,1879024,National Historic Site,Lands,San Juan,-66.117490228999998,18.468843504999999
27,SHEN,Shenandoah National Park,12/18/2013 0:00:00,VA,NE,1488805,National Park,Lands,Shenandoah,-78.676199627000003,38.281082109000003
28,SLBE,Sleeping Bear Dunes National Lakeshore,12/18/2013 0:00:00,MI,MW,638101,National Lakeshore,Lands,Sleeping Bear Dunes,-86.015223586000005,45.111627317999996
29,STEA,Steamtown National Historic Site,12/18/2013 0:00:00,PA,NE,1877509,National Historic Site,Lands,Steamtown,-75.670372552000003,41.407575207999997
30,TIMU,Timucuan Ecological and Historic Preserve,12/18/2013 0:00:00,FL,SE,2733416,Ecological and Historic Preserve,Lands,Timucuan,-81.471408324999999,30.431109567000000
31,VICK,Vicksburg National Military Park,12/18/2013 0:00:00,LA,SE,679217,National Military Park,Lands,Vicksburg,-90.843097239000002,32.364511917000002
32,CEBE,Cedar Creek and Belle Grove National Historical Park,4/7/2005 0:00:00,VA,NE,1985663,National Historical Park,Lands,Cedar Creek & Belle Grove,-78.316086075000001,38.992380484999998
33,LIBI,Little Bighorn Battlefield National Monument,2/23/2005 0:00:00,MT,IM,806297,National Monument,Lands,Little Bighorn Battlefield,-107.428636291000004,45.565054240000002
